filename,sac capacity,valeur_total,combination capacity,duree
files\test100-SC(1).txt,101,104,0,0.0
files\test100-SC(2).txt,101,62,41,0.0
files\test100-SC(3).txt,101,188,98,0.0
files\test100-SC(4).txt,101,110,0,0.000997781753540039
files\test100-SC(5).txt,101,91,0,0.0
files\test250-SC(1).txt,101,116,66,0.0
files\test250-SC(2).txt,101,89,66,0.0
files\test250-SC(3).txt,101,113,58,0.0
files\test250-SC(4).txt,101,129,61,0.0
files\test250-SC(5).txt,101,203,97,0.0009996891021728516
files\test500-SC(1).txt,101,80,56,0.0
files\test500-SC(2).txt,101,113,64,0.0
files\test500-SC(3).txt,101,137,83,0.0
files\test500-SC(4).txt,101,177,79,0.0
files\test500-SC(5).txt,125,130,80,0.0
files\test1000-SC(1).txt,101,150,74,0.0
files\test1000-SC(2).txt,101,188,96,0.0
files\test1000-SC(3).txt,154,213,153,0.0
files\test1000-SC(4).txt,201,236,184,0.0
files\test1000-SC(5).txt,249,106,0,0.0
files\test2000-SC(1).txt,101,148,97,0.0010113716125488281
files\test2000-SC(2).txt,202,218,100,0.0010242462158203125
files\test2000-SC(3).txt,304,397,289,0.0010004043579101562
files\test2000-SC(4).txt,400,378,304,0.00099945068359375
files\test2000-SC(5).txt,494,245,157,0.0009980201721191406
