filename,sac capacity,valeur_total,combination capacity,duree
files\test100-SC(1).txt,101,199,89,0.0010001659393310547
files\test100-SC(2).txt,101,233,93,0.0
files\test100-SC(3).txt,101,215,95,0.0
files\test100-SC(4).txt,101,259,89,0.0
files\test100-SC(5).txt,101,205,95,0.0
files\test250-SC(1).txt,101,265,95,0.0009996891021728516
files\test250-SC(2).txt,101,369,99,0.0
files\test250-SC(3).txt,101,295,95,0.0
files\test250-SC(4).txt,101,361,101,0.0
files\test250-SC(5).txt,101,264,94,0.0
files\test500-SC(1).txt,101,391,101,0.0
files\test500-SC(2).txt,101,437,97,0.0
files\test500-SC(3).txt,101,367,97,0.0
files\test500-SC(4).txt,101,418,98,0.0010020732879638672
files\test500-SC(5).txt,125,445,125,0.0
files\test1000-SC(1).txt,101,487,97,0.0010001659393310547
files\test1000-SC(2).txt,101,549,99,0.0010027885437011719
files\test1000-SC(3).txt,154,621,151,0.0
files\test1000-SC(4).txt,201,818,198,0.0010006427764892578
files\test1000-SC(5).txt,249,837,247,0.0
files\test2000-SC(1).txt,101,639,99,0.0009961128234863281
files\test2000-SC(2).txt,202,1071,201,0.0009970664978027344
files\test2000-SC(3).txt,304,1241,301,0.0010013580322265625
files\test2000-SC(4).txt,400,1538,398,0.0010001659393310547
files\test2000-SC(5).txt,494,1749,489,0.002000570297241211
